SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Subject,Activity
1759223388.47400,7.638551,15.956905,-2.327613,1.592331,0.331257,1.922859,2,WALK
1759223388.49394,8.277803,11.527931,-1.770213,2.007081,-0.668458,1.915866,2,WALK
1759223388.51396,9.531915,10.775703,-2.063951,2.129271,-1.851078,2.91727,2,WALK
1759223388.53392,5.673959,14.973636,-1.507748,2.054636,-2.131477,3.697979,2,WALK
1759223388.55393,-0.626084,17.688512,2.48967,1.735727,-2.796821,2.823466,2,WALK
1759223388.57394,-3.701136,17.82947,6.978499,1.088359,-3.704554,0.984869,2,WALK
1759223388.59393,-4.106654,16.026936,6.539762,0.662758,-2.542692,-0.361771,2,WALK
1759223388.61400,-4.283077,13.517064,4.465635,0.84561,-0.720041,-0.774642,2,WALK
1759223388.63392,-3.035249,9.980978,2.910302,0.845704,0.535642,-0.594765,2,WALK
1759223388.65392,1.553388,8.336909,-1.545906,-0.632219,-0.255827,0.544558,2,WALK
1759223388.67394,1.560421,9.694422,-3.971083,-0.60672,0.312397,1.716591,2,WALK
1759223388.69393,-0.32621,9.054272,-0.682647,0.338646,-0.588946,1.815915,2,WALK
1759223388.71394,-1.439065,5.452645,0.602441,0.877125,-1.528594,1.214992,2,WALK
1759223388.73400,-0.798167,4.02181,-0.287753,0.566679,-2.095846,0.756026,2,WALK
1759223388.75393,-0.298228,3.986944,-0.009427,0.361426,-1.880876,0.49686,2,WALK
1759223388.77394,-0.448314,4.809353,1.454328,0.30589,-2.168652,0.275121,2,WALK
1759223388.79305,-1.70946,4.993706,1.580023,0.061908,-2.325623,-0.162664,2,WALK
1759223388.81394,-2.802563,4.70326,0.834679,-0.431782,-1.860094,-0.965024,2,WALK
1759223388.83394,-3.238158,4.28188,-0.006584,-0.67831,-0.966506,-1.330917,2,WALK
1759223388.85395,-2.732981,3.789273,-2.430115,-0.644696,-0.262315,-1.455626,2,WALK
1759223388.87364,-0.318279,4.473117,-4.503194,-0.504615,0.128023,-1.306474,2,WALK
1759223388.89320,1.744176,7.411401,-7.30456,-0.378076,0.120678,-1.276954,2,WALK
1759223388.91393,5.489007,13.226169,-10.062231,-0.388233,1.21155,-0.325881,2,WALK
1759223388.93395,9.147197,18.999935,-9.491364,-0.464144,2.402807,0.903624,2,WALK
1759223388.95394,7.660996,17.814806,-8.830265,-0.368536,1.071265,0.89792,2,WALK
1759223388.97393,7.153276,11.567735,-6.139332,-0.294594,-1.102949,0.596144,2,WALK
1759223388.99339,3.957166,9.657162,-3.755455,-0.1868,-0.488471,0.668862,2,WALK
1759223389.01400,-1.747618,10.462063,-1.219098,-0.512227,0.282577,0.041217,2,WALK
1759223389.03394,-5.836315,13.638869,-2.430414,-0.385508,0.208449,-0.842357,2,WALK
1759223389.05392,-3.94325,16.881217,-0.560393,-0.563606,0.167712,-0.60131,2,WALK
1759223389.07393,-1.196652,14.278869,6.41646,0.056691,1.668735,-1.081369,2,WALK
1759223389.09359,-3.52636,8.201338,4.125209,0.353529,3.794527,-0.987997,2,WALK
1759223389.11392,-4.491522,5.050868,2.564789,-0.079895,4.882606,-0.780504,2,WALK
1759223389.13393,-4.329914,5.753117,2.650681,-0.446869,4.98007,-0.955911,2,WALK
1759223389.15394,-3.891027,7.538892,3.046622,-0.72762,3.894503,-1.180411,2,WALK
1759223389.17394,-3.250129,9.041553,3.00188,-0.635943,2.199041,-1.160173,2,WALK
1759223389.19380,-2.021903,11.390265,1.91581,-0.053379,0.863319,-0.876754,2,WALK
1759223389.21392,-0.136021,12.714258,2.000056,0.243057,-0.550622,-0.600251,2,WALK
1759223389.23316,2.106897,14.663438,3.156456,-0.329409,-2.135619,-0.34252,2,WALK
1759223389.25393,4.862773,13.190704,3.900304,-1.889063,-2.069483,-0.147022,2,WALK
1759223389.27396,6.802675,9.487772,3.437176,-3.001849,-1.360633,-0.751759,2,WALK
1759223389.29396,10.463858,8.552837,1.390133,-3.050822,1.298417,-1.063069,2,WALK
1759223389.31392,13.518111,5.703288,1.000627,-2.545642,4.444062,-0.069766,2,WALK
1759223389.37393,0.899023,10.658986,-3.251176,-1.138554,4.827568,0.469527,2,WALK
1759223389.39392,-3.165883,10.459818,-8.895207,-0.042781,-2.037171,-0.267571,2,WALK
1759223389.41294,0.123451,9.477896,1.234061,-0.222887,-0.412613,-0.370236,2,WALK
1759223389.43389,0.69357,8.670003,5.065083,-0.119789,1.299374,-0.383512,2,WALK
1759223389.45365,0.884059,7.581838,3.022081,-0.306909,0.970187,-0.477321,2,WALK
1759223389.47393,-0.055665,8.375666,1.586009,-0.349186,0.497145,-0.745919,2,WALK
1759223389.49394,-0.575955,9.426421,-0.45415,-0.21982,0.717324,-0.983111,2,WALK
1759223389.51315,-1.033248,9.769989,-0.13632,0.01843,1.096683,-1.127091,2,WALK
1759223389.53399,-0.66065,8.984092,-0.232088,0.302311,1.373183,-1.062042,2,WALK
1759223389.55392,2.67148,9.164106,1.16029,0.559056,1.413401,-0.96337,2,WALK
1759223389.57394,5.33069,10.261997,2.201169,0.669707,1.351527,-0.936422,2,WALK
1759223389.59414,6.686556,9.364621,2.8286,0.678708,1.079472,-0.634806,2,WALK
1759223389.61335,8.668057,9.132084,2.555062,0.755466,0.470525,-0.171684,2,WALK
1759223389.63393,10.562619,9.802759,2.011878,0.663548,-0.340974,0.276828,2,WALK
1759223389.65323,10.209474,10.050559,1.058237,0.65867,-0.669296,0.75986,2,WALK
1759223389.67397,9.688736,14.860959,0.262913,0.967916,-1.070907,1.37787,2,WALK
1759223389.69391,7.993491,14.532954,-0.50772,0.941582,-1.962687,1.686572,2,WALK
1759223389.71360,6.089053,11.180024,-4.260631,1.232266,-2.471354,2.156193,2,WALK
1759223389.73399,6.264878,13.182025,-3.192369,2.343259,-3.036363,3.056655,2,WALK
1759223389.75412,3.405752,16.220866,0.347159,2.576864,-2.982956,3.479874,2,WALK
1759223389.77393,1.874061,17.746122,1.959504,2.448285,-2.24548,2.988789,2,WALK
1759223389.79413,-1.616385,19.754109,4.917241,1.95239,-1.659538,1.848742,2,WALK
1759223389.81379,-3.437774,18.011729,6.568193,1.156561,-0.422551,0.715988,2,WALK
1759223389.83391,-4.600159,14.970344,4.144962,0.727909,0.760769,0.050416,2,WALK
1759223389.85392,-4.736329,10.710611,-0.636858,0.264918,0.244039,0.47622,2,WALK
1759223389.87375,-2.286163,9.460987,-2.341978,0.140877,-0.178297,1.090529,2,WALK
1759223389.89392,-2.588431,8.59279,0.123601,0.19965,1.16598,0.661366,2,WALK
1759223389.91393,2.672677,8.231116,5.824644,-0.447351,-0.871114,1.071609,2,WALK
1759223389.93391,2.773982,6.807613,-1.372775,0.165068,-0.760291,1.44926,2,WALK
