SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1759223390.020708, -6.877195, 12.728923, -3.894169, -1.202934, -1.084739, 0.911343, -66.038345, -26.708221, -161.157181
1759223390.040669, -8.911967, 10.816554, 2.158672, -1.563855, -1.985513, -0.367403, -66.748077, -25.443924, -160.595093
1759223390.060696, -5.884648, 9.156475, 3.174262, -1.553779, -2.373758, -0.562220, -68.400803, -24.417587, -160.297272
1759223390.080671, -0.225055, 7.949647, -2.026243, -1.090384, -0.945196, 0.336814, -69.672501, -23.426086, -159.742447
1759223390.100711, 2.527080, 6.947824, -4.931008, -0.735811, 1.143366, 1.780000, -69.246765, -22.359695, -159.730606
1759223390.120687, 0.620547, 3.986046, 2.083704, -1.545545, 1.134106, 2.073685, -67.743423, -21.016663, -159.961807
1759223390.140691, -0.835726, 3.790769, 5.111770, -2.505207, -0.083409, 1.573213, -67.380936, -19.088593, -159.628281
1759223390.160703, -1.480814, 5.025729, 4.304475, -2.906986, -1.920282, 0.915849, -68.599731, -16.957764, -159.483765
1759223390.180681, -1.050755, 5.159804, 2.777573, -2.698680, -3.197271, 0.614868, -72.075241, -12.506622, -157.223892
1759223390.200689, 0.710928, 7.229142, 4.684704, -3.025950, -3.179820, 1.152264, -74.084778, -9.701324, -154.958252
1759223390.220698, 5.153070, 17.031602, 5.547665, -2.613156, -2.796068, 3.397691, -74.696899, -6.872269, -153.430450
1759223390.240676, 7.550414, 28.556541, 5.593154, -0.899796, -1.782285, 5.639570, -73.697281, -4.283768, -153.251984
1759223390.260691, 0.322319, 22.479908, -3.731962, 2.086815, 0.010827, 4.373011, -72.179474, -5.275299, -154.568787
1759223390.280673, -2.073828, 12.434885, -1.251120, 3.137816, 0.469657, 2.174780, -71.137634, -6.074020, -155.044846
1759223390.300795, -2.362329, 6.573730, -4.110844, 1.463690, -0.250881, 0.569596, -71.165924, -7.155197, -155.393982
1759223390.320658, 0.225205, 7.112275, 0.615459, -1.778164, 1.460821, 0.175174, -69.852173, -5.914429, -155.091370
1759223390.340611, 0.731878, 9.607782, 1.234211, -1.962986, 2.488199, -0.528392, -68.049301, -4.892105, -154.654831
1759223390.360674, 1.341800, 8.896704, 0.534206, -1.697822, 2.613137, -0.701857, -66.418900, -4.009460, -154.638428
1759223390.380679, 2.694824, 8.130858, -1.897554, -1.193162, 0.782613, -0.198530, -66.225357, -2.923126, -154.811432
1759223390.400683, 2.217031, 8.789862, -0.287903, -1.100076, -0.846151, 0.080753, -66.907410, -2.152435, -153.753082
1759223390.420687, 1.444901, 9.000702, 0.521487, -1.219102, -1.147241, -0.158317, -67.696747, -1.590240, -153.191544
