SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Subject,Activity
1759223392.52068,0.091429,9.062353,-0.09921,-1.4205,0.091781,0.116635,6,WALK
1759223392.53983,-0.529717,8.983793,-0.478541,-1.489084,-0.319984,0.250946,6,WALK
1759223392.55999,-0.811784,8.969577,0.373944,-1.637972,-0.445931,0.344535,6,WALK
1759223392.58069,-0.363919,8.895058,0.500239,-1.491164,-0.24899,0.33456,6,WALK
1759223392.60068,1.722778,8.947281,-0.622492,-1.288512,-0.136674,0.316557,6,WALK
1759223392.62068,2.970755,9.721656,-0.765995,-1.470861,-0.12443,0.325719,6,WALK
1759223392.64056,2.393453,10.292374,-0.522235,-1.491182,-0.46171,0.419108,6,WALK
1759223392.66038,1.6309,10.524312,-1.048361,-1.396227,-0.925367,0.515786,6,WALK
1759223392.68069,0.792032,10.301053,-3.67899,-1.460941,-1.163482,0.587423,6,WALK
1759223392.70068,0.328006,11.587337,-4.889109,-0.969028,-1.113036,0.408396,6,WALK
1759223392.72068,-0.207847,13.81185,-2.646191,0.03677,-0.769174,0.179713,6,WALK
1759223392.74074,-0.679504,12.903101,-1.250671,0.343866,-0.4328,0.05514,6,WALK
1759223392.76068,-1.82513,13.455713,-1.290175,0.728156,-0.138806,-0.193601,6,WALK
1759223392.78068,-3.341557,14.678102,0.745794,1.357856,0.59756,-0.67022,6,WALK
1759223392.80068,-1.813757,15.06701,-0.543633,2.156148,1.091552,-1.175781,6,WALK
1759223392.82068,3.291878,12.688371,-3.62138,3.196799,1.026021,-0.963448,6,WALK
1759223392.84068,5.176563,13.235895,-0.514604,3.392104,0.328556,-0.718845,6,WALK
1759223392.86069,4.790648,13.708002,4.060716,2.791791,0.352264,-0.710091,6,WALK
1759223392.88071,6.485294,14.021043,3.936516,2.21801,0.625689,-0.460887,6,WALK
1759223392.90069,7.338228,14.443919,3.993828,1.756838,0.25499,-0.199081,6,WALK
1759223392.92070,7.93214,14.203452,4.196437,1.35419,-0.394202,-0.048741,6,WALK
1759223392.94069,8.077139,12.281806,3.0761,1.599341,-0.666167,-0.043685,6,WALK
1759223392.95982,4.44723,10.869376,-3.16274,3.388156,-1.050938,-0.581922,6,WALK
1759223392.98069,3.568258,9.554511,1.748815,3.98701,0.089997,-0.728211,6,WALK
1759223393.00070,2.4982,7.425916,1.695993,4.242983,0.535401,-0.661307,6,WALK
1759223393.02070,2.574814,5.760449,1.368137,4.120212,0.730083,-0.496885,6,WALK
1759223393.04067,2.736423,4.690989,0.900968,3.286931,1.281958,-0.406409,6,WALK
1759223393.05989,2.466926,4.45935,1.051952,2.697746,1.619785,-0.391709,6,WALK
1759223393.08037,2.322076,3.392584,2.199673,1.15891,1.036598,-0.264435,6,WALK
1759223393.10070,2.954744,2.211195,1.949479,0.670492,0.476196,-0.050819,6,WALK
1759223393.12070,3.239355,1.258452,1.203685,0.424589,0.555616,0.158459,6,WALK
1759223393.14068,2.757522,1.066168,0.882263,-0.181165,0.611634,0.205126,6,WALK
1759223393.16022,2.174384,1.673697,0.593463,-0.610749,0.553238,0.201342,6,WALK
1759223393.18070,2.223764,2.676119,-1.590049,-1.421514,0.536313,0.300255,6,WALK
1759223393.20071,0.925359,4.944326,-5.461623,-1.897485,0.436777,0.139447,6,WALK
