SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Durations,Subject,Activity
1759230026.17416,1.298555,8.165874,-3.779397,0.913915,-0.10136,-0.603334,3.54,3,DOWNSTAIRS
1759230026.19416,2.450465,7.100005,-1.202937,1.218946,-0.715239,-0.548504,3.56,3,DOWNSTAIRS
1759230026.21416,2.68824,6.568792,1.999907,0.92838,-1.063057,-0.493028,3.58,3,DOWNSTAIRS
1759230026.23415,3.663278,8.086266,0.706289,0.373575,-0.760187,-0.251316,3.60,3,DOWNSTAIRS
1759230026.25344,2.952649,8.724172,-3.144036,0.856391,-0.526716,-0.074041,3.62,3,DOWNSTAIRS
1759230026.27419,1.755997,9.411158,-6.859537,2.081497,-0.556046,0.233624,3.64,3,DOWNSTAIRS
1759230026.29416,1.029956,13.836989,-2.1057,2.695519,-0.994179,0.861617,3.66,3,DOWNSTAIRS
1759230026.31377,-0.703596,17.249774,-1.839345,2.450616,-0.091181,1.703124,3.68,3,DOWNSTAIRS
1759230026.33356,-4.273051,17.612196,-0.787992,2.506035,0.479885,2.003756,3.70,3,DOWNSTAIRS
1759230026.35346,-7.368754,19.085079,1.952621,1.980613,0.350895,2.262515,3.72,3,DOWNSTAIRS
1759230026.37416,-11.131392,14.306402,0.907552,0.959195,0.172291,1.510064,3.74,3,DOWNSTAIRS
1759230026.39417,-6.07813,16.432753,-6.290615,0.5548,0.776815,0.89219,3.76,3,DOWNSTAIRS
1759230026.41417,0.989703,17.804181,-5.208436,0.886774,1.245408,0.907051,3.78,3,DOWNSTAIRS
1759230026.43418,3.230077,13.603854,0.802955,0.574865,0.92556,1.036171,3.80,3,DOWNSTAIRS
1759230026.45348,0.56997,10.297312,0.929399,-0.125525,0.490345,0.950735,3.82,3,DOWNSTAIRS
1759230026.47416,-2.075324,8.162881,-0.954688,-0.366301,0.146682,0.874242,3.84,3,DOWNSTAIRS
1759230026.49415,-3.996521,6.291064,-0.710779,-0.51071,-0.161952,0.782051,3.86,3,DOWNSTAIRS
1759230026.51415,-4.764611,4.389021,0.071976,-0.856408,-0.046897,0.602489,3.88,3,DOWNSTAIRS
1759230026.53414,-4.568286,2.698116,0.539294,-0.894896,0.181272,0.287416,3.90,3,DOWNSTAIRS
1759230026.55350,-3.714454,0.630274,1.453729,-1.071797,0.150797,-0.090217,3.92,3,DOWNSTAIRS
1759230026.57415,-2.294693,-1.762282,1.296759,-1.186594,-0.283027,-0.481352,3.94,3,DOWNSTAIRS
1759230026.59352,-1.343746,-2.807501,0.9909,-1.27081,-0.272573,-0.760045,3.96,3,DOWNSTAIRS
1759230026.61415,-0.047884,-1.053,1.681328,-1.578612,-0.190268,-1.024829,3.98,3,DOWNSTAIRS
1759230026.63417,0.805499,2.546682,0.403722,-1.906354,-0.199524,-1.026407,4.00,3,DOWNSTAIRS
1759230026.65412,0.307954,6.872855,-2.021305,-1.894586,-0.592894,-0.711065,4.02,3,DOWNSTAIRS
1759230026.67416,0.415544,12.809129,-4.523545,-1.678308,-0.786781,-0.443677,4.04,3,DOWNSTAIRS
1759230026.69373,1.363947,18.357691,-8.318654,-0.894072,0.103354,-0.303256,4.06,3,DOWNSTAIRS
1759230026.71416,3.527258,10.12882,-6.241983,0.481997,0.889665,0.04514,4.08,3,DOWNSTAIRS
1759230026.73416,-0.330549,1.758691,7.00693,0.22724,0.062716,-0.264265,4.10,3,DOWNSTAIRS
1759230026.75413,-1.096095,0.552312,6.152799,-0.885923,-1.3729,-0.26939,4.12,3,DOWNSTAIRS
1759230026.77409,-3.773561,14.252832,2.663849,-2.38522,-2.17241,-0.427664,4.14,3,DOWNSTAIRS
1759230026.79416,-1.451185,31.669602,-14.176218,-0.419512,0.334831,-0.332966,4.16,3,DOWNSTAIRS
1759230026.81416,-2.130989,24.216901,-12.657546,3.592387,-0.228137,0.415376,4.18,3,DOWNSTAIRS
1759230026.83415,1.92823,7.21777,11.78052,1.763343,-0.534255,0.538465,4.20,3,DOWNSTAIRS
1759230026.85356,0.898125,15.425542,3.098396,-1.966456,1.448327,0.036577,4.22,3,DOWNSTAIRS
1759230026.87418,12.256816,22.67309,-3.248632,-0.525066,0.029903,-0.233385,4.24,3,DOWNSTAIRS
1759230026.89416,3.485658,14.239365,-0.228347,1.063464,-2.080434,0.009699,4.26,3,DOWNSTAIRS
1759230026.91427,-2.225261,10.337564,4.543895,0.24138,-1.339663,-0.146395,4.28,3,DOWNSTAIRS
1759230026.93419,-2.581548,7.666084,4.799177,-0.974459,-0.491994,-0.173305,4.30,3,DOWNSTAIRS
