SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Subject,Activity
1759229817.56025,4.22008,10.748768,-2.334945,-0.132595,-0.000225,-0.43553,6,DOWNSTAIRS
1759229817.58025,4.663007,4.954501,0.295534,0.539671,1.259088,-0.322735,6,DOWNSTAIRS
1759229817.59985,6.468385,4.592079,3.981408,0.177126,1.756481,0.315876,6,DOWNSTAIRS
1759229817.62023,6.979397,4.032135,0.637456,-0.207661,2.195787,0.471282,6,DOWNSTAIRS
1759229817.63936,7.535899,11.028591,-5.282956,-0.4359,1.520887,0.349133,6,DOWNSTAIRS
1759229817.66025,4.727501,15.012542,-2.463334,-0.769206,-0.092114,0.008583,6,DOWNSTAIRS
1759229817.68027,2.41156,8.053945,-3.040486,-0.689892,-0.123733,0.173028,6,DOWNSTAIRS
1759229817.70026,2.296638,2.865111,-3.328988,-0.314714,-0.171588,0.321261,6,DOWNSTAIRS
1759229817.72025,2.487276,1.235558,0.083498,-0.190543,-0.23857,0.365916,6,DOWNSTAIRS
1759229817.73970,1.288679,2.157475,0.492457,-0.207334,0.366343,0.268124,6,DOWNSTAIRS
1759229817.75930,0.294786,10.437971,-3.00607,-0.463178,-0.967873,0.251641,6,DOWNSTAIRS
1759229817.78035,0.083797,16.802058,-2.893542,-0.91232,-2.121547,-0.362735,6,DOWNSTAIRS
1759229817.80026,-0.200664,6.397606,-2.486827,-0.227797,-1.106032,-0.542551,6,DOWNSTAIRS
1759229817.82023,2.022203,0.115969,0.538097,0.598199,0.088331,-0.331764,6,DOWNSTAIRS
1759229817.84026,5.748029,-3.187281,-5.353884,1.596974,-0.327735,0.563736,6,DOWNSTAIRS
1759229817.86025,7.36651,9.632322,-3.804686,1.015242,-0.692437,1.13678,6,DOWNSTAIRS
1759229817.88025,0.961122,10.938509,1.722478,-0.172546,-0.538293,0.198417,6,DOWNSTAIRS
1759229817.90015,-2.486528,7.563133,-1.384148,-0.329729,-1.228922,-0.416778,6,DOWNSTAIRS
1759229817.92026,1.017536,6.651242,-4.779126,0.431341,-1.144692,0.151714,6,DOWNSTAIRS
1759229817.94027,1.893365,10.31033,-4.056526,1.299198,-0.111972,0.119936,6,DOWNSTAIRS
1759229817.95955,0.899472,12.029816,-5.18614,1.818557,-0.223854,-0.256596,6,DOWNSTAIRS
1759229817.98025,5.361964,21.885697,-7.541735,2.790417,-0.846423,-1.056599,6,DOWNSTAIRS
1759229818.00025,4.904223,20.747553,-7.495647,2.283907,-2.275004,-1.319115,6,DOWNSTAIRS
1759229818.01924,4.048296,16.3102,-5.030966,1.74468,-2.91972,-1.381774,6,DOWNSTAIRS
1759229818.04025,6.526893,9.469217,0.177321,1.493739,-0.927966,-0.923595,6,DOWNSTAIRS
1759229818.06025,7.373543,6.622212,-1.77545,1.894162,0.195192,-0.94653,6,DOWNSTAIRS
1759229818.08023,6.489484,7.442376,-2.986318,2.273181,0.846899,-0.807223,6,DOWNSTAIRS
1759229818.10030,4.554969,14.015806,-3.363554,1.448566,-0.231084,-0.745272,6,DOWNSTAIRS
1759229818.12023,3.362507,16.66529,-2.640655,0.084489,0.015699,-1.139443,6,DOWNSTAIRS
1759229818.14030,4.671536,10.719888,-2.589329,0.113876,0.706522,-1.226722,6,DOWNSTAIRS
1759229818.16024,3.806182,5.020641,-0.670376,0.519767,0.901802,-0.842193,6,DOWNSTAIRS
