SamplingTime,AccelerationX,AccelerationY,AccelerationZ,GyroX,GyroY,GyroZ,Subject,Activity
1759736166.57129,0.181062,-3.494487,-8.57633,0.098314,-0.364838,0.035691,1,IDLE
1759736166.59135,-0.181361,-3.493739,-8.550592,-0.026042,-0.27121,0.075311,1,IDLE
1759736166.61068,-0.220267,-3.35712,-8.673893,-0.123978,-0.192042,0.094722,1,IDLE
1759736166.63162,-0.423026,-3.457078,-8.84463,-0.161892,-0.130348,0.020587,1,IDLE
1759736166.65162,-0.415993,-3.557185,-8.904335,-0.154977,-0.155636,-0.063086,1,IDLE
1759736166.67132,-0.489465,-3.811719,-8.699332,-0.124539,-0.151905,-0.12676,1,IDLE
1759736166.69162,-0.492308,-3.938162,-8.551939,-0.159735,-0.016031,-0.125072,1,IDLE
1759736166.71161,-0.298377,-4.025252,-8.736292,-0.294943,0.194073,-0.047903,1,IDLE
1759736166.73161,-0.231789,-3.739743,-9.038859,-0.448309,0.337388,-0.019597,1,IDLE
1759736166.75162,0.114922,-3.320309,-9.672425,-0.500844,0.269669,-0.047043,1,IDLE
1759736166.77132,0.49949,-2.778172,-9.974543,-0.419905,-0.047341,-0.122411,1,IDLE
1759736166.79161,0.402974,-2.595464,-10.153061,-0.268292,-0.28877,-0.256694,1,IDLE
1759736166.81162,0.14859,-2.53112,-9.592519,-0.106068,-0.509662,-0.379611,1,IDLE
1759736166.83163,-0.197522,-2.577208,-9.098415,0.00528,-0.509124,-0.498157,1,IDLE
1759736166.85162,-0.233435,-2.944419,-9.192687,0.090742,-0.41526,-0.418675,1,IDLE
1759736166.87132,-0.032172,-3.091962,-9.001899,0.176068,-0.376291,-0.199038,1,IDLE
1759736166.89161,-0.295834,-3.165135,-8.98499,0.280438,-0.162132,-0.089724,1,IDLE
1759736166.91162,-0.871639,-3.104531,-8.911518,0.550763,0.039453,-0.206554,1,IDLE
1759736166.93094,-0.811784,-3.224391,-9.215731,0.787027,0.176208,-0.314497,1,IDLE
1759736166.95086,-0.783054,-3.454384,-9.309105,0.915955,0.300869,-0.354314,1,IDLE
1759736166.97130,-0.402525,-3.75321,-9.039159,0.961078,0.254257,-0.33947,1,IDLE
1759736166.99160,0.124349,-3.902549,-8.1964,0.638659,-0.191753,-0.129035,1,IDLE
1759736167.01127,0.156521,-4.205714,-7.954885,-0.011041,-0.38276,0.162215,1,IDLE
1759736167.03162,-0.224007,-4.421791,-7.946954,-0.543481,-0.479247,0.335373,1,IDLE
1759736167.05146,-1.175403,-4.843769,-8.982596,-0.697148,-0.363626,0.175861,1,IDLE
1759736167.07130,-1.25127,-4.420145,-9.554062,-0.558327,-0.294608,-0.005326,1,IDLE
1759736167.09159,-0.725892,-3.353977,-9.568427,-0.294022,-0.321094,-0.056405,1,IDLE
1759736167.11162,-0.956035,-3.667318,-9.742755,-0.02206,-0.324373,-0.160958,1,IDLE
1759736167.13119,-0.924162,-3.728221,-9.180866,0.068227,-0.419774,-0.175876,1,IDLE
1759736167.15162,-0.929549,-3.748572,-8.383896,-0.114536,-0.437216,-0.130831,1,IDLE
1759736167.17130,-1.01559,-3.946093,-8.260445,-0.322026,-0.216992,-0.053545,1,IDLE
1759736167.19159,-1.166126,-4.173692,-8.804677,-0.319226,0.113436,0.036196,1,IDLE
1759736167.21161,-0.896629,-3.42311,-10.067917,0.036474,0.285087,0.125748,1,IDLE
1759736167.23162,-0.651372,-3.028216,-10.78543,0.496903,0.293596,0.208467,1,IDLE
1759736167.25162,0.007482,-2.677466,-10.304045,0.731333,0.180247,0.490897,1,IDLE
1759736167.27135,0.126444,-3.156605,-10.167426,0.828403,0.157537,0.732159,1,IDLE
1759736167.29159,-0.458639,-3.729119,-9.933243,0.816207,0.231264,0.75083,1,IDLE
1759736167.31161,-1.382203,-3.799149,-8.317157,0.361345,0.306795,0.528135,1,IDLE
1759736167.33067,-1.482759,-3.977368,-7.819014,0.082174,0.268488,0.405392,1,IDLE
1759736167.35160,-1.617582,-5.01286,-8.337658,-0.363668,0.169946,0.203075,1,IDLE
1759736167.37130,-1.613842,-5.217265,-8.636484,-0.413415,0.275572,0.12917,1,IDLE
1759736167.39159,-1.236306,-4.186112,-8.297555,-0.76089,0.86896,0.065109,1,IDLE
