SamplingTime, AccelerationX, AccelerationY, AccelerationZ, GyroX, GyroY, GyroZ, MagneticFieldX, MagneticFieldY, MagneticFieldZ
1759224926.507532, -10.691308, 3.977667, -5.328445, -2.740027, -0.334608, 0.911243, -53.128983, 19.064453, -108.330566
1759224926.527556, -10.206482, 3.976619, -5.288343, -2.393788, -0.305274, 0.961660, -52.418564, 17.987640, -106.544159
1759224926.547008, -9.493608, 3.767725, -4.639813, -2.068098, -0.404653, 1.335529, -50.983902, 17.783035, -104.893051
1759224926.567527, -9.579500, 3.747524, -3.959112, -1.792602, -0.698358, 1.764437, -49.660736, 17.232651, -103.369736
1759224926.587521, -11.448923, 4.661062, -2.526032, -1.657477, -1.343241, 1.913208, -47.334518, 16.167633, -102.046432
1759224926.607516, -13.476812, 4.506486, -4.233248, -1.598405, -0.619452, 1.374901, -46.009186, 15.573700, -101.260620
1759224926.627015, -12.870181, 5.050269, -4.522348, -1.181629, -0.607260, 0.547783, -45.227158, 14.630234, -100.680908
1759224926.647514, -11.443985, 4.796783, -3.476082, -0.767285, -1.007711, 0.284994, -44.634491, 14.668930, -100.032990
1759224926.667519, -10.099940, 4.265121, -3.118897, -0.623250, -1.041416, 0.454260, -44.456741, 14.248581, -99.605927
1759224926.687268, -9.185804, 4.284873, -3.566762, -0.610012, -1.622264, 0.765011, -42.958893, 13.566254, -99.902695
1759224926.706752, -10.524462, 4.169053, -2.840122, -0.456081, -1.979257, 0.610713, -42.293304, 13.438721, -100.130966
1759224926.727446, -10.327838, 4.153491, -2.475754, -0.320421, -2.180735, 0.115695, -40.930206, 13.233627, -100.498062
1759224926.747533, -8.297405, 3.830573, -2.522890, -0.287923, -2.175503, -0.193230, -40.194763, 13.141342, -100.695358
1759224926.766755, -6.157587, 3.821595, -2.785354, -0.209206, -2.069264, 0.025713, -39.698822, 12.927597, -101.078506
1759224926.787492, -6.346580, 5.264999, -2.407819, 0.051658, -1.713943, 0.451410, -38.717773, 12.810394, -101.994003
1759224926.806964, -7.541137, 5.867440, -1.410484, 0.107816, -1.204590, 0.433863, -38.299500, 12.958115, -102.626755
1759224926.827558, -8.469339, 5.842600, -0.246453, -0.020268, -0.622542, -0.008286, -37.900818, 12.831436, -102.525818
1759224926.847488, -8.760982, 6.222380, -0.298976, -0.103468, -0.263518, -0.392150, -38.077469, 12.697952, -102.309219
1759224926.867491, -8.363994, 6.447585, 0.372149, -0.270208, -0.154188, -0.673422, -38.166245, 12.881622, -102.513123
1759224926.887484, -8.622568, 7.278074, 0.846201, -0.456106, 0.075080, -0.638438, -38.925430, 13.141617, -102.264542
1759224926.907491, -9.521141, 7.278822, 1.508347, -0.650706, 0.274715, -0.660574, -39.152054, 13.365097, -101.912567
1759224926.927511, -9.293992, 6.460005, 1.266533, -0.890886, 0.335873, -0.855580, -40.028320, 13.237946, -101.674118
1759224926.946663, -9.687239, 6.150255, 0.522983, -0.730470, 0.518368, -1.126791, -41.028549, 13.171356, -100.868027
1759224926.967495, -8.810512, 5.620239, -0.338780, -0.675281, 0.531468, -1.247770, -41.850662, 13.768631, -100.238968
1759224926.987478, -9.443629, 5.856217, 0.728137, -0.733341, 0.736285, -1.361342, -43.057251, 13.205215, -98.836304
1759224927.007474, -9.117868, 5.520281, 0.393697, -0.108663, -0.671183, -0.241796, -44.001816, 13.853806, -99.031052
1759224927.026506, -8.357260, 2.942623, -0.893486, -0.890258, 0.233297, -0.632651, -44.116653, 13.259216, -98.493805
1759224927.047496, -11.333103, 4.230854, 2.349460, -2.115705, 2.372936, -2.948355, -45.766037, 13.363190, -97.281479
1759224927.067472, -13.639617, 7.574656, 0.360627, -2.350023, 2.300216, -4.095088, -50.021667, 12.491776, -94.973251
1759224927.087579, -11.407922, 4.442591, 0.999430, -2.677539, 0.719062, -3.496101, -52.880524, 11.565506, -93.643555
1759224927.107285, -8.055291, 1.108515, -2.811242, -1.507260, 0.402954, -2.310307, -55.289734, 10.926712, -92.130020
1759224927.126910, -7.792229, 0.002095, 1.006762, -1.695726, 0.395304, -1.755810, -57.058655, 9.799179, -90.883499
1759224927.146901, -3.169324, 1.565359, 2.207604, -1.496518, 0.732655, -0.556353, -57.919571, 8.899689, -89.924240
1759224927.167469, -1.623119, 1.744176, -2.407968, -0.559077, 1.068577, -0.181254, -58.687195, 8.260986, -89.896912
1759224927.187493, -6.532430, 0.801908, 0.024541, -0.682861, 1.691593, -0.867405, -59.879868, 7.673553, -89.582367
1759224927.207579, -5.745037, -0.038756, 2.319682, -2.078763, 2.814031, -0.350373, -61.682053, 7.379761, -88.979507
1759224927.227446, -6.503550, -2.446276, 3.030910, -1.050091, 0.777594, 0.398437, -62.844284, 6.118713, -87.524582
1759224927.247461, -5.739201, -2.930353, -8.727164, 0.490955, 0.104339, 2.110469, -62.409012, 6.365097, -88.097382
1759224927.267458, -8.166323, -2.963872, -1.961300, 0.318601, -1.822726, 3.559542, -60.420731, 6.574600, -88.381866
1759224927.287464, -14.013711, 4.472069, -1.330278, 0.670741, -2.842332, 3.070057, -57.017288, 7.726593, -88.236481
1759224927.307472, -12.372037, 5.925499, 0.328305, 0.395319, -2.552704, 2.422934, -53.336731, 7.729218, -88.671646
1759224927.327459, -4.131345, 3.872472, 0.605733, -0.081681, -0.568317, 3.234155, -50.334290, 7.968033, -88.748123
1759224927.346660, -0.736965, 4.706552, -2.357391, 0.290305, 0.678563, 4.711640, -48.513168, 7.649139, -88.550507
1759224927.366833, -3.800047, 6.196044, -2.115726, 0.511645, 0.898306, 6.156068, -45.682877, 6.962936, -89.109329
1759224927.387455, -10.981156, 7.347955, -0.385018, 0.274031, 0.649406, 5.507964, -42.641022, 5.371979, -89.580276
1759224927.407461, -12.344354, 7.496096, -1.001225, 0.365074, 0.417970, 3.359100, -39.849731, 4.255295, -88.575455
1759224927.427445, -7.865701, 7.680000, 0.369006, 0.145712, 0.305350, 1.832471, -38.904358, 3.663147, -88.764786
1759224927.447041, -5.649717, 7.865401, 0.667234, 0.059823, 0.394609, 1.392490, -38.871017, 3.651291, -89.295059
1759224927.467437, -1.085920, 5.940463, -0.411204, -0.194699, -0.554866, 2.041142, -37.179886, 2.792969, -88.831863
1759224927.487447, -1.122881, 3.605967, -1.038784, -0.502556, -1.041125, 2.761058, -35.372238, 1.233582, -89.301163
1759224927.507198, -6.325331, 11.001506, -5.242553, -0.149545, -0.058308, 2.801849, -33.910446, 0.028534, -88.655273
1759224927.526768, -11.762264, 15.272463, -2.337788, 0.160565, -0.854831, 0.435143, -32.492813, -0.459793, -88.772476
1759224927.547456, -9.883414, 12.585121, -2.615216, 0.059418, -0.663805, 0.307599, -32.315109, -0.504745, -89.914627
1759224927.566819, -4.797830, 7.945009, -2.309058, -0.241194, 0.147893, 0.647703, -32.178314, -0.547592, -89.220688
1759224927.587435, -2.447173, 6.596624, 0.214580, -0.749551, -0.005507, 1.173285, -31.835022, -1.686569, -89.455154
1759224927.607441, -4.369418, 7.271190, 0.565032, -0.842098, 0.582929, 1.857090, -31.386459, -2.688705, -89.107956
1759224927.626567, -6.457162, 8.814403, -0.872537, -0.756867, 0.714530, 2.043545, -30.731674, -4.133530, -88.495728
1759224927.647501, -7.830685, 10.740389, -2.642750, -0.016744, -0.370155, 0.969964, -30.176666, -4.800278, -88.159561
1759224927.667485, -7.010073, 11.143512, -2.626439, 0.329214, -0.799787, 0.746385, -29.564575, -5.277954, -88.440765
1759224927.687449, -5.364358, 10.355371, -1.991527, 0.290084, -0.662021, 0.962899, -28.844131, -5.475967, -88.459503
1759224927.707432, -6.805369, 9.135076, -1.490839, -0.010466, -0.142697, 0.967449, -28.487137, -5.894150, -88.388123
1759224927.727423, -6.463896, 8.651747, -2.284817, -0.322260, 0.536239, 0.826753, -29.004547, -6.575821, -88.342270
1759224927.747436, -6.980744, 8.293963, -3.187131, -0.242180, 1.068890, 0.628491, -29.412506, -6.948761, -88.027466
1759224927.767397, -6.074090, 7.811382, -3.660884, 0.095212, 1.375640, 0.350407, -30.149185, -6.501556, -86.507111
1759224927.787417, -4.094234, 7.461529, -2.067243, 0.338859, 1.627789, 0.362264, -31.355865, -6.768066, -86.100266
1759224927.807423, -3.985448, 7.452402, -0.482432, 0.460132, 1.795197, 0.488921, -31.873199, -6.502121, -85.287750
1759224927.827430, -4.055628, 7.019799, -0.232986, 0.692835, 1.806850, 0.351515, -33.303970, -6.604019, -85.088852
1759224927.846486, -2.904167, 5.647922, -1.458667, 0.889033, 2.623092, -0.077516, -35.024231, -5.255997, -83.650131
1759224927.867400, -0.947655, 4.882226, -0.572513, 0.802789, 2.854797, 0.350417, -37.078537, -5.008911, -83.040466
1759224927.887279, -1.451185, 5.513846, 0.385766, 0.723179, 2.257536, 1.407244, -37.906265, -5.255783, -82.764908
1759224927.907045, -1.505055, 6.220884, 0.129287, 0.792961, 1.718798, 2.793504, -38.393295, -5.492599, -82.195099
1759224927.927425, -0.209343, 4.053234, -0.945560, 0.902507, 2.134454, 3.841119, -39.045029, -5.782349, -81.943527
1759224927.946910, -3.494337, 3.337816, -8.121132, 2.200679, -0.025389, 3.319641, -37.816544, -5.495117, -83.205124
1759224927.967373, -2.873790, 5.570709, -6.632986, 4.950721, -5.578398, 2.126179, -33.349045, -3.251266, -86.753372
1759224927.987401, -3.760243, 11.564892, -2.642450, 3.053931, -6.588459, 0.713232, -29.322891, -2.132156, -91.049728
1759224928.007406, -2.797774, 15.653590, -11.176582, -1.301272, -5.760082, -0.340263, -26.630585, -2.349045, -94.270187
1759224928.027392, 15.143176, 39.053769, -17.583616, 0.423959, -1.772583, 3.621850, -24.274414, -4.066574, -94.902664
1759224928.047307, -1.888427, 31.686361, -4.910059, 1.180862, 2.125947, 5.179720, -23.337936, -6.750656, -94.537994
1759224928.066706, -4.521151, 14.408156, 0.691026, 1.097701, 0.228288, 1.329489, -23.031891, -7.402512, -94.635117
1759224928.087402, 4.580407, 6.155941, 1.982698, 0.986420, -0.495317, 0.002431, -23.087280, -7.070129, -96.041794
1759224928.107396, 4.663157, 2.776376, 1.924788, 0.848483, 0.571107, -0.235058, -23.790665, -6.456253, -95.562897
1759224928.127390, 4.495413, 0.697311, 0.716315, 0.401423, 1.520533, -0.000237, -24.277176, -6.212372, -95.135986
1759224928.147385, 2.702754, -0.780360, -0.010175, -0.361816, 1.906696, 0.172263, -24.926910, -6.320190, -93.321198
1759224928.166620, 1.648857, -2.518551, -2.245163, -1.208858, 2.647461, 0.416759, -26.116837, -7.065582, -92.065277
1759224928.187383, -3.377620, -0.163853, -4.261230, -2.451672, 1.965715, 0.836444, -27.002792, -8.811371, -89.627319
1759224928.207403, -5.160402, 8.386888, -11.093683, -2.372587, -0.720113, 0.359553, -27.341431, -10.652740, -88.810287
1759224928.227375, -2.752284, 13.227665, -7.778312, -1.556356, -2.209146, -0.665584, -26.013885, -11.186630, -89.780533
1759224928.247125, -1.911321, 8.945037, -1.020828, -1.151629, -2.032420, -1.147770, -25.478333, -10.960541, -89.905365
1759224928.267356, 1.232565, 3.521422, 5.552902, -0.852716, -1.523568, -1.077712, -24.556519, -10.927719, -91.592346
1759224928.287383, 7.161057, 6.352715, -4.642357, 0.768494, -0.866814, -0.135540, -24.302628, -10.709320, -91.539139
1759224928.307375, 14.169185, 13.480702, -1.739537, 2.683566, -3.147598, 2.211688, -22.754730, -10.008835, -93.887909
1759224928.326958, 6.502502, 7.552659, 9.121310, -1.278376, 1.204939, 1.810300, -22.555115, -11.704346, -94.316254
1759224928.347359, 3.808876, 5.491251, 4.250606, -2.431764, -0.641880, 0.991031, -21.894653, -13.233948, -93.773560
1759224928.367216, 10.854861, 9.335441, -5.785588, -1.148812, -0.819755, 1.576805, -21.789398, -15.191513, -93.784775
1759224928.387363, 6.034286, 14.689624, 2.733729, -1.040159, -0.688998, 1.916953, -21.009583, -17.074829, -94.690536
1759224928.406641, 5.204994, 15.031397, 1.330578, -1.268472, -0.554754, 1.865475, -20.856262, -18.702835, -94.359116
1759224928.427396, 3.837756, 10.694151, -0.075268, -1.627629, 0.025930, 1.730985, -20.194077, -20.595169, -94.613480
1759224928.447355, 3.904344, 9.465327, 1.304241, -2.476007, 1.428212, 1.532748, -20.579666, -22.837067, -93.494766
1759224928.467266, 4.601656, 10.556783, 0.534954, -2.569962, 1.497562, 1.608875, -21.267349, -25.191269, -92.885376
1759224928.487377, 2.981829, 13.149554, -0.878822, -2.326590, 1.020461, 1.607499, -22.068192, -27.479187, -92.422897
1759224928.507411, 3.778349, 16.537798, -0.276530, -2.060424, 0.483458, 1.561771, -22.496490, -29.264465, -91.965912
1759224928.527268, 1.780089, 21.233277, -4.559757, -1.904318, 1.254653, 1.492835, -23.186157, -31.405914, -91.563828
1759224928.547369, 1.682974, 16.519692, -5.559636, -1.611433, 2.114152, 1.114565, -24.596420, -32.761261, -90.577805
1759224928.567327, 0.723049, 11.547833, -5.801600, -1.376817, 1.546111, 1.067139, -25.700668, -34.458740, -89.913071
